date,manner_of_death,armed,age,gender,race,city,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,state
2015-02-15,shot,hatchet,34,Male,White,Colton,True,other,Not fleeing,False,-122.437,45.175,Oregon
2015-02-15,shot and Tasered,unarmed,25,Male,Black,Miami Gardens,True,other,Not fleeing,False,-80.208,25.951,Florida
2015-02-16,shot,gun,56,Male,White,Marana,False,attack,Not fleeing,False,-111.09,32.359,Arizona
2015-02-16,shot,gun,26,Male,White,Boise,False,attack,Not fleeing,False,-116.222,43.579,Idaho
2015-02-16,shot,toy weapon,24,Male,White,Provo,True,attack,Not fleeing,False,-111.624,40.103,Utah
2015-02-17,shot,gun,43,Female,White,Gaston County,False,attack,Not fleeing,False,-81.169,35.229,North Carolina
2015-02-17,shot,unarmed,31,Male,White,Springfield,False,other,Foot,False,-93.319,37.225,Missouri
2015-02-17,shot,gun,32,Male,White,Eaton Rapids Township,False,attack,Not fleeing,False,-84.701,42.514,Michigan
2015-02-17,shot,toy weapon,30,Male,White,Tewksbury,False,attack,Foot,False,-71.284,42.614,Massachusetts
2015-02-17,shot,Unknown,50,Male,Hispanic,Del Rio,False,other,Not fleeing,False,-100.831,29.369,Texas
2015-02-18,shot,knife,20,Female,Black,Charlotte,True,other,Not fleeing,False,-80.819,35.25,North Carolina
2015-02-20,shot,unarmed,31,Male,Hispanic,Euless,False,other,Not fleeing,False,-97.1,32.874,Texas
2015-02-20,shot,gun,38,Male,Black,Homewood,False,attack,Not fleeing,False,-86.824,33.482,Alabama
2015-02-20,shot,gun,77,Male,Black,Birmingham,True,attack,Not fleeing,False,-86.724,33.564,Alabama
2015-02-20,shot,gun,0,Male,Hispanic,Houston,False,attack,Car,False,-95.401,29.983,Texas
2015-02-21,shot,gun,41,Male,White,Ruidoso,False,attack,Not fleeing,False,-105.665,33.448,New Mexico
2015-02-21,shot,knife,51,Male,White,Indianapolis,False,attack,Not fleeing,False,-85.992,39.793,Indiana
2015-02-22,shot,gun,50,Male,White,Palm Bay,False,attack,Not fleeing,False,-80.645,27.99,Florida
2015-02-23,shot,gun,47,Male,White,Denham Springs,True,attack,Not fleeing,False,-90.956,30.455,Louisiana
2015-02-23,shot,knife,37,Male,White,Powder Springs,False,other,Not fleeing,False,-84.695,33.911,Georgia
2015-02-23,shot,gun,41,Male,White,Clarkesville,False,attack,Foot,False,-83.598,34.631,Georgia
2015-02-23,shot,gun,16,Male,Black,Millbrook,False,attack,Not fleeing,False,-86.362,32.53,Alabama
2015-02-23,shot and Tasered,knife,42,Male,White,Allentown,False,attack,Car,False,-75.433,40.632,Pennsylvania
2015-02-23,shot and Tasered,unarmed,39,Male,White,Omaha,False,other,Not fleeing,False,-95.933,41.244,Nebraska
2015-02-24,shot and Tasered,knife,30,Male,White,Green Bay,True,attack,Not fleeing,False,-88.058,44.527,Wisconsin
2015-02-25,shot,Unknown,27,Male,Black,Oklahoma City,False,other,Car,False,-97.552,35.497,Oklahoma
2015-02-25,shot,gun,43,Male,White,Las Vegas,True,attack,Not fleeing,False,-115.055,36.241,Nevada
2015-02-26,shot,gun,42,Male,Hispanic,Lakeland,False,attack,Foot,False,-81.95,28.104,Florida
2015-02-26,shot,knife,21,Male,Hispanic,San Francisco,False,other,Not fleeing,False,-122.414,37.751,California
2015-02-26,shot,unarmed,49,Male,White,Gulfport,False,other,Not fleeing,False,-89.092,30.425,Mississippi
2015-02-26,shot,gun,34,Female,White,Sylvester,False,attack,Car,False,-83.902,31.55,Georgia
2015-02-26,shot and Tasered,unarmed,31,Male,White,Terre Haute,False,other,Not fleeing,False,-87.379,39.463,Indiana
2015-02-27,shot,unarmed,27,Male,Hispanic,Santa Ana,False,other,Not fleeing,False,-117.879,33.747,California
2015-02-28,shot,gun,24,Male,White,Pelzer,False,attack,Not fleeing,False,-82.408,34.633,South Carolina
2015-02-28,shot,unarmed,34,Male,Black,St Louis,False,other,Car,False,-90.232,38.598,Missouri
2015-02-28,shot,knife,28,Female,Hispanic,Tucson,False,other,Not fleeing,False,-110.99,32.23,Arizona
2015-02-28,shot,gun,28,Male,Black,Columbia,False,attack,Car,False,-92.294,38.946,Missouri
2015-02-28,shot,gun,40,Male,Black,Tarboro,True,attack,Car,False,-77.548,35.918,North Carolina
2015-02-28,shot,gun,37,Female,White,La Paz County,False,attack,Car,False,-114.451,33.619,Arizona
2015-02-28,shot and Tasered,unarmed,17,Male,White,Roxand Township,False,attack,Not fleeing,True,-84.837,42.756,Michigan
2015-03-01,shot,gun,35,Male,Asian,Houston,False,attack,Not fleeing,False,-95.622,29.704,Texas
2015-03-01,shot,gun,49,Male,White,Barton,False,attack,Not fleeing,False,-88.604,30.789,Mississippi
2015-03-01,shot and Tasered,unarmed,43,Male,Black,Los Angeles,True,attack,Not fleeing,True,-118.245,34.043,California
2015-03-02,shot,gun,20,Male,Black,Joilet,False,other,Foot,False,-88.074,41.522,Illinois
2015-03-03,shot,gun,25,Male,Black,Salisbury,False,attack,Not fleeing,False,-75.609,38.38,Maryland
2015-03-03,shot,knife,25,Male,White,Tempe,False,attack,Not fleeing,False,-111.931,33.44,Arizona
2015-03-04,shot,unarmed,26,Male,White,Deltona,False,other,Not fleeing,False,-81.254,28.887,Florida
2015-03-04,shot,gun,28,Male,Asian,Stockton,False,attack,Not fleeing,False,-121.286,37.948,California
2015-03-05,shot,knife,45,Male,Black,Milwaukee,True,other,Not fleeing,False,-87.904,42.968,Wisconsin
2015-03-05,shot,unarmed,36,Male,Hispanic,Burbank,False,other,Car,False,-118.345,34.151,California
2015-03-05,shot,gun,34,Male,White,Lincoln,False,attack,Not fleeing,False,-96.682,40.875,Nebraska
2015-03-06,shot,unarmed,19,Male,Black,Madison,False,attack,Foot,False,-89.365,43.083,Wisconsin
2015-03-06,shot,unarmed,37,Male,Black,Aurora,False,other,Foot,False,-104.916,39.735,Colorado
2015-03-06,shot,Unknown,48,Male,Black,Putnam Hall,False,other,Not fleeing,False,-81.959,29.743,Florida
2015-03-07,shot,gun,29,Male,White,Phoenix,False,attack,Not fleeing,False,-112.043,33.469,Arizona
2015-03-08,shot,knife,43,Female,Black,Anaheim,True,other,Not fleeing,True,-117.94,33.819,California
2015-03-08,shot,gun,40,Male,Hispanic,Oklahoma City,False,attack,Not fleeing,False,-97.583,35.426,Oklahoma
2015-03-08,shot,Unknown,35,Male,White,Claymont,False,attack,Car,False,-75.456,39.818,Delaware
2015-03-09,shot,unarmed,27,Male,Black,Atlanta,True,other,Not fleeing,False,-84.267,33.88,Georgia
2015-03-09,shot,gun,58,Male,White,Brevard,False,attack,Not fleeing,False,-82.626,35.269,North Carolina
2015-03-09,shot,gun,46,Male,White,Dinosaur,False,attack,Not fleeing,False,-109.01,40.246,Colorado
2015-03-09,shot,gun,30,Male,Black,Cocoa,False,attack,Not fleeing,False,-80.749,28.351,Florida
2015-03-10,shot,gun,64,Male,Black,Cleveland,False,attack,Not fleeing,True,-81.641,41.45,Ohio
2015-03-10,shot,gun,31,Male,Black,Baton Rouge,False,attack,Not fleeing,False,-91.169,30.536,Louisiana
2015-03-10,shot,knife,23,Male,White,Port Wentworth,False,attack,Not fleeing,True,-81.184,32.165,Georgia
2015-03-10,shot,sword,37,Male,Hispanic,Ontario,True,other,Car,False,-117.655,34.05,California
2015-03-11,shot,Unknown,37,Male,Black,Elkton,False,other,Not fleeing,False,-75.816,39.573,Maryland
2015-03-11,shot,gun,31,Male,White,Memphis,True,attack,Not fleeing,False,-90.0,35.158,Tennessee
2015-03-11,shot,gun,39,Male,Hispanic,Santa Ana,False,attack,Not fleeing,False,-117.868,33.743,California
2015-03-11,shot,toy weapon,31,Male,White,Kingman,True,attack,Not fleeing,False,-114.026,35.204,Arizona
2015-03-11,shot,gun,54,Male,White,Bay Minette,False,attack,Not fleeing,False,-87.891,30.862,Alabama
2015-03-11,shot,gun,53,Male,White,Hoover,True,attack,Not fleeing,False,-86.849,33.417,Alabama
2015-03-11,shot,Unknown,25,Male,Hispanic,Los Angeles,False,other,Not fleeing,False,-118.22,33.939,California
